,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
5-Jun,,0,,0,,,,,,0,,,,,0,0,0,0,72,0,0,0,0,0,0,0
6-Jun,,,,0,,,,,,0,,,,,0,12,0,0,85,0,0,0,0,0,0,0
7-Jun,,,,0,,,,,,0,0,,,,0,31,0,0,81,0,0,0,0,0,0,0
8-Jun,,0,,0,,,,,,0,0,26,,,0,39,0,0,79,0,0,0,3,0,0,0
9-Jun,,0,,0,,,27,,,0,0,26,,0,0,38,9,0,80,0,0,0,3,0,0,0
10-Jun,,18,0,0,,,27,,,44,0,23,0,0,0,38,6,0,79,0,0,0,3,0,0,0
11-Jun,,25,0,25,,,27,43,,45,0,22,8,0,0,36,6,0,78,0,0,0,0,5,0,17
12-Jun,,25,10,25,,,27,43,33,45,0,22,8,0,0,33,4,0,78,0,0,0,0,15,0,37
13-Jun,,25,20,25,,,30,43,33,45,0,22,8,0,0,25,7,0,74,4,0,0,0,15,3,49
14-Jun,,28,10,25,,,30,43,33,45,0,26,5,2,0,61,26,2,75,41,0,15,0,15,8,44
15-Jun,,29,4,25,,,30,43,33,45,0,26,5,0,13,46,32,9,71,41,0,21,0,15,9,42
16-Jun,,29,10,25,,,30,40,53,45,0,42,30,15,31,48,29,9,70,41,0,21,0,16,10,41
17-Jun,,29,10,25,,,30,40,53,45,0,42,50,43,29,48,37,9,68,36,0,19,0,17,10,39
18-Jun,,29,10,25,,,30,40,53,45,0,42,50,45,41,48,37,9,65,34,0,18,0,16,10,39
19-Jun,,29,10,25,,,30,40,53,45,0,42,50,46,65,45,34,8,65,34,0,15,0,16,24,40
20-Jun,,29,10,25,,,30,40,53,45,0,42,50,52,77,44,34,8,65,31,0,15,0,15,39,52
21-Jun,,37,15,25,,,29,40,53,45,0,42,50,56,77,44,35,13,60,31,0,15,0,15,37,48
22-Jun,,41,24,25,,,50,45,53,45,0,61,50,56,77,49,38,13,71,34,0,15,0,15,36,45
23-Jun,,41,46,25,,,58,45,49,45,0,61,50,71,69,58,42,13,84,30,0,13,0,15,36,50
24-Jun,75,41,52,25,20,,61,45,49,45,0,61,50,64,65,58,41,13,83,30,0,12,0,15,42,47
25-Jun,75,41,52,25,60,,61,45,49,40,0,61,50,60,72,56,40,13,79,29,0,12,0,15,47,47
26-Jun,75,41,49,25,60,,61,45,49,40,0,61,50,60,99,55,43,11,78,29,0,18,9,15,47,48
27-Jun,75,41,51,25,55,35,54,45,49,40,0,61,50,58,98,55,43,11,78,28,0,17,26,12,55,48
28-Jun,75,41,49,25,56,35,54,45,49,40,0,61,50,57,96,44,72,10,76,26,0,13,25,15,57,48
29-Jun,75,46,45,25,90,35,54,55,49,40,0,61,61,57,93,42,73,10,100,26,0,3,25,25,56,48
30-Jun,75,46,69,25,104,35,54,55,66,40,0,61,61,55,91,45,70,16,104,26,0,2.5,35,34,56,48
1-Jul,75,46,66,25,103,35,65,55,66,40,0,61,61,54,93,45,68,16,96,25,0,2.5,41,61,56,47
2-Jul,75,46,66,48,103,35,82,55,66,45,0,63,61,53,94,45,68,16,95,25,0,0,43,62,56,45
3-Jul,75,46,61,48,103,34,82,55,66,67,0,63,61,53,95,43,68,16,95,25,0,0,45,69,56,38
4-Jul,75,46,60,48,103,34,81,55,66,67,0,80,61,53,93,43,75,15,93,25,0,0,46,70,56,41
5-Jul,75,65,68,48,103,34,81,55,66,67,44,80,61,52,93,42,79,15,91,25,0,0,41,70,53,37
6-Jul,75,73,68,48,103,34,79,73,66,67,44,99,61,51,99,42,107,24,96,25,0,0,39,70,48,41
7-Jul,75,73,57,48,103,35,74,98,66,67,44,112,61,49,106,41,116,34,88,25,0,0,47,71,45,40
8-Jul,93,70,50,56,103,45,72,97,70,67,44,109,61,50,110,41,112,32,86,25,0,0,46,70,43,33
9-Jul,93,68,50,56,103,58,72,100,70,67,55,108,61,62,109,42,111,29,91,25,0,24,45,70,45,33
10-Jul,93,68,48,56,133,58,72,100,70,67,55,108,61,73,106,41,117,29,91,25,0,31,45,70,45,57
11-Jul,93,68,51,56,134,65,73,107,70,67,90,108,61,70,102,41,116,11,98,25,0,31,45,77,40,56
12-Jul,93,74,61,56,137,65,94,105,70,67,90,108,52,69,104,39,114,7,92,23,0,30,48,77,40,56
13-Jul,93,77,61,56,138,65,94,109,70,67,90,108,52,70,101,51,111,4,92,23,0,30,48,86,44,53
14-Jul,93,77,61,56,137,65,94,113,70,67,95,108,52,77,99,50,109,4,92,21,0,30,48,97,42,51
15-Jul,93,77,100,56,137,65,94,124,70,67,95,108,52,76,98,50,108,4,94,20,0,28,48,112,41,47
16-Jul,93,77,100,56,150,65,94,111,71,83,95,108,52,76,98,50,106,18,92,19,0,39,48,116,43,45
17-Jul,93,77,100,56,150,65,94,109,71,83,95,108,52,94,107,49,120,25,92,19,0,41,48,103,42,44
18-Jul,93,77,100,56,170,44,107,111,71,83,95,143,52,92,103,48,122,27,91,17,0,49,48,112,41,44
19-Jul,103,86,100,70,171,44,107,117,71,84,95,143,52,92,103,48,118,27,110,17,0,40,50,138,41,44
20-Jul,103,89,81,70,171,44,107,117,71,84,95,143,52,89,103,48,116,27,124,39,0,45,58,135,41,44
21-Jul,103,89,81,70,171,70,107,103,74,84,108,143,54,88,103,47,117,27,126,46,0,44,67,134,41,44
22-Jul,103,89,81,83,171,70,107,103,74,89,110,143,54,87,102,48,115,27,153,55,0,44,66,142,43,46
23-Jul,103,89,81,83,171,71,107,103,74,93,109,143,53,87,101,48,114,27,159,59,0,44,76,169,43,46
24-Jul,110,89,81,83,171,71,107,103,74,92,109,143,53,85,112,70,115,24,158,58,0,44,88,163,43,46
25-Jul,105,89,81,83,171,69,109,103,74,92,109,123,53,82,127,107,114,21,159,58,0,42,92,163,43,40
26-Jul,127,107,110,93,171,69,109,103,74,89,109,123,57,81,129,144,112,21,182,55,0,41,91,163,45,39
27-Jul,127,112,125,100,171,66,109,103,74,89,109,123,57,73,132,144,112,21,180,55,0,36,91,162,45,43
28-Jul,127,112,125,100,171,66,109,107,81,94,109,123,57,72,132,134,112,18,174,56,0,36,90,158,46,42
29-Jul,127,112,125,100,171,64,109,107,81,98,109,123,57,71,145,155,111,18,173,56,0,38,82,164,45,42
30-Jul,127,112,125,100,171,64,109,107,81,98,109,123,57,70,139,158,109,15,166,56,0,38,81,170,44,42
31-Jul,127,112,125,100,171,64,109,107,81,90,125,123,57,69,138,155,109,13,165,54,0,38,77,168,57,38
1-Aug,127,112,125,100,151,64,121,107,81,90,125,123,57,67,138,155,108,20,165,54,104,38,87,181,65,39
2-Aug,127,111,125,100,160,48,121,107,81,90,124,123,57,67,140,147,111,21,160,54,104,38,112,191,77,44
3-Aug,142,110,125,100,160,52,121,124,81,97,125,123,56,65,156,144,112,21,158,54,98,38,117,196,78,46
4-Aug,142,110,125,110,160,75,121,110,90,97,132,123,56,63,182,142,111,21,156,53,98,38,126,197,75,44
5-Aug,142,110,125,120,160,84,121,110,89,110,134,123,56,69,183,139,110,32,155,53,98,38,144,197,75,43
6-Aug,142,110,125,120,160,84,121,110,89,110,131,123,66,67,184,143,110,39,155,52,87,38,140,197,75,43
7-Aug,142,136,125,120,160,84,121,110,89,109,129,123,66,65,185,141,114,39,151,52,84,34,179,200,80,43
8-Aug,155,161,125,120,160,96,141,110,89,113,128,123,70,73,185,139,112,64,149,51,72,58,185,190,78,47
9-Aug,174,160,125,120,160,90,141,110,89,113,132,123,73,75,189,151,111,69,143,51,68,67,182,190,79,50
10-Aug,169,163,125,120,160,90,141,110,89,109,140,123,73,105,188,149,110,70,161,80,68,73,182,186,78,51
11-Aug,167,163,125,120,160,91,141,110,100,109,153,123,73,114,189,145,108,70,163,79,68,73,177,185,76,65
12-Aug,184,163,125,165,160,91,141,104,100,109,150,123,73,117,186,147,108,65,180,85,67,90,172,183,75,64
13-Aug,182,163,125,171,160,103,141,104,99,108,157,123,73,117,188,140,125,65,180,88,70,87,168,180,96,60
14-Aug,173,163,116,171,160,114,141,104,99,108,155,123,73,113,214,127,123,62,190,103,67,91,163,180,98,56
15-Aug,168,147,116,171,160,114,162,104,99,108,154,123,73,111,226,124,121,59,201,106,68,94,162,179,94,50
16-Aug,183,143,116,171,160,114,162,104,99,108,154,129,73,125,225,123,115,51,206,105,68,86,162,178,94,52
17-Aug,179,143,111,171,160,114,162,100,99,108,147,129,80,119,224,123,111,50,210,105,79,85,163,176,94,58
18-Aug,184,147,111,171,160,123,172,100,117,108,146,129,80,117,218,125,114,73,203,95,87,93,176,161,101,60
19-Aug,205,161,111,171,160,128,172,100,117,101,146,129,80,112,214,124,114,73,202,95,87,93,172,157,97,58
20-Aug,215,162,111,171,160,130,172,100,117,101,145,129,80,103,212,124,113,95,190,95,78,91,167,155,95,56
21-Aug,216,160,111,171,160,141,165,100,117,101,154,129,80,100,211,123,112,103,190,94,75,89,165,149,95,55
22-Aug,217,159,111,171,150,144,179,100,117,101,154,124,80,104,209,132,111,135,192,94,71,89,163,145,95,53
23-Aug,211,169,111,171,150,163,179,100,117,101,154,124,76,104,201,126,111,134,208,89,65,84,172,144,100,53
24-Aug,211,169,111,171,150,151,179,100,117,101,154,124,76,102,198,123,110,135,203,89,65,100,166,143,102,52
25-Aug,206,169,111,171,140,146,179,92,140,101,154,124,76,101,196,154,110,130,201,82,65,103,165,137,100,52
26-Aug,205,169,111,171,140,146,179,92,177,102,154,124,76,99,193,162,109,123,213,79,67,108,163,129,96,51
