,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
5-Jun,,0,,,,,,,,0,,,,,0,,,0,80,0,0,0,0,0,0,0
6-Jun,,0,,0,,,,,,0,,,,,0,0,,0,85,0,0,0,0,0,0,0
7-Jun,,0,,0,40,,,,,0,0,,,,0,3,0,0,85,0,0,0,0,0,0,0
8-Jun,,0,,25,40,,,,,0,0,0,0,,0,5,,0,80,0,0,0,0,0,0,0
9-Jun,20,0,,0,40,,0,,,0,0,0,0,,0,0,0,0,75,0,0,0,0,0,0,0
10-Jun,15,20,0,25,40,,0,,,40,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
11-Jun,10,20,0,30,40,,0,20,,45,0,0,2,0,0,0,0,0,58,0,0,0,0,0,0,0
12-Jun,5,15,0,30,40,,0,15,20,40,0,0,2,0,0,0,0,0,58,0,0,0,0,0,0,0
13-Jun,5,20,0,30,40,,0,15,20,40,0,0,2,0,0,0,0,0,55,0,0,0,0,0,0,25
14-Jun,2,20,0,30,40,,0,15,20,40,0,12,2,0,0,3,8,1,50,2,0,8,0,0,0,40
15-Jun,2,15,0,30,40,,0,15,20,35,0,10,2,1,0,15,2,17,50,25,0,13,0,0,0,35
16-Jun,5,20,0,30,40,,0,15,20,30,0,10,2,1,5,8,2,15,40,25,3,12,0,0,0,25
17-Jun,35,20,0,30,40,,0,15,20,25,0,10,2,8,5,8,2,12,30,25,3,10,0,0,0,25
18-Jun,35,20,0,30,35,,0,15,15,15,0,8,2,8,5,8,3,12,30,20,6,9,0,22,0,25
19-Jun,35,20,0,30,35,,0,15,15,15,0,15,2,9,7,4,2,12,30,8,2,8,0,8,0,10
20-Jun,30,20,0,30,40,,0,15,10,15,0,15,10,5,7,4,2,10,20,8,2,7,0,4,0,10
21-Jun,30,20,25,30,45,,30,15,10,15,0,15,10,3,55,,0,7,15,8,0,6,0,4,0,8
22-Jun,25,20,,30,45,,30,30,10,10,0,25,5,4,40,4,0,5,15,8,1,4,0,2,0,7
23-Jun,25,20,20,30,40,,35,30,10,10,0,30,3,4,40,17,0,5,15,8,1,3,0,1,0,7
24-Jun,35,20,25,25,50,,35,30,10,10,0,30,2,0,25,10,0,5,15,8,8,0,0,1,0,12
25-Jun,35,30,30,25,40,,35,30,8,10,0,30,2,0,25,10,0,5,12,8,33,3,0,1,0,10
26-Jun,35,30,30,25,30,,30,30,10,10,0,30,2,0,55,8,4,3,10,0,25,2,0,0,0,8
27-Jun,40,30,30,25,30,35,30,30,10,10,0,30,2,0,55,5,2,3,10,0,33,0,0,0,0,8
28-Jun,40,30,30,20,30,35,30,30,20,15,0,25,2,0,45,3,30,3,10,0,30,0,0,1,0,8
29-Jun,40,30,20,20,50,35,30,30,20,15,0,20,2,0,45,0,40,3,12,0,32,0,0,15,0,8
30-Jun,45,35,20,20,40,35,30,30,30,10,0,20,2,0,45,0,45,3,12,0,32,0,0,17,0,5
1-Jul,45,35,30,30,50,30,35,30,50,0,0,20,0,0,45,0,40,0,10,0,34,0,0,30,0,5
2-Jul,45,40,30,30,50,30,40,30,50,0,0,20,0,0,30,0,30,0,8,2,30,0,0,40,0,5
3-Jul,45,40,30,35,50,30,40,45,50,20,0,15,0,0,30,0,25,0,8,2,25,0,0,35,0,5
