,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
5-Jun,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0
6-Jun,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0
7-Jun,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,5,0,0,92,0,0,0,0,0,0,0
8-Jun,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,3,0,0,62,0,7,0,0,0,0,0
9-Jun,40,0,0,41,0,0,22,0,0,0,0,0,0,0,0,3,0,0,62,0,7,0,0,0,0,0
10-Jun,40,6,0,43,0,0,12,0,0,35,0,0,0,0,0,0,0,0,60,0,7,7,0,0,0,0
11-Jun,40,8,0,43,0,0,12,35,0,35,0,0,0,0,0,0,0,0,60,0,5,0,0,0,0,0
12-Jun,40,6,7,43,0,0,12,35,8,35,0,10,0,0,0,0,0,0,60,0,5,0,0,0,0,8
13-Jun,35,3,5,43,0,0,14,25,8,45,0,10,0,0,0,4,0,0,52,0,5,0,0,0,0,40
14-Jun,35,2,6,41,0,0,14,25,7,45,0,24,0,0,0,7,6,2,50,1,5,10,0,0,0,43
15-Jun,35,2,6,40,0,0,14,25,6,45,0,24,0,1,5,10,4,35,50,18,5,14,0,0,0,35
16-Jun,38,1,6,38,0,0,14,18,6,45,0,20,0,1,13,5,4,20,46,18,9,13,0,0,0,30
17-Jun,45,0,0,13,0,0,10,20,0,35,0,20,0,3,17,5,0,18,40,8,11,10,0,6,0,26
18-Jun,55,0,0,11,0,0,10,22,6,30,0,22,0,3,17,5,0,15,39,6,9,10,0,9,0,24
19-Jun,50,0,0,11,0,0,7,18,5,28,0,32,0,3,22,3,1,15,38,6,9,10,0,4,0,15
20-Jun,50,0,0,26,0,0,6,15,4,28,0,40,0,3,55,3,1,14,37,5,9,8,0,4,0,12
21-Jun,50,1,0,32,0,0,10,15,4,23,0,40,0,0,59,2,0,7,31,5,11,8,0,7,0,12
22-Jun,50,1,0,36,0,0,30,25,4,20,0,50,0,0,45,0,0,7,31,0,10,7,0,7,0,10
23-Jun,40,0,0,36,0,0,30,20,4,18,0,50,0,0,38,10,0,6,36,0,34,7,0,7,0,14
24-Jun,40,1,21,30,9,0,40,15,4,14,0,54,0,0,34,4,0,6,32,0,42,5,0,7,0,16
25-Jun,40,5,35,22,21,0,40,12,3,14,0,50,0,0,32,4,0,5,30,0,60,8,0,7,0,14
26-Jun,40,7,36,20,15,0,40,10,17,14,0,50,0,0,49,4,4,5,30,0,68,22,0,7,0,12
27-Jun,40,7,38,19,10,7,45,10,22,14,0,50,0,0,53,3,4,5,26,0,68,15,0,4,0,14
28-Jun,40,7,38,17,10,7,44,5,21,10,0,45,15,0,50,0,20,0,26,0,68,0,0,4,5,14
29-Jun,40,7,36,17,32,7,42,5,21,10,0,45,15,0,50,0,29,0,26,0,68,0,0,7,5,13
30-Jun,40,9,34,17,42,7,37,3,21,8,0,45,15,0,45,0,29,0,28,0,68,0,0,11,4,11
1-Jul,40,20,45,15,42,4,37,5,21,0,0,51,15,0,40,0,29,0,23,3,76,0,0,17,4,9
