,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
5-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,77,0,0,0,0,0,0,0
6-Jun,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,8,10,0,87,0,0,0,0,0,0,0
7-Jun,0,50,0,30,0,0,0,0,0,0,0,0,0,0,0,22,10,0,87,0,0,0,0,0,0,0
8-Jun,0,47,0,30,0,0,0,0,0,0,0,25,0,0,0,25,5,0,82,0,5,0,0,0,0,0
9-Jun,10,47,0,25,0,0,10,0,0,0,0,25,0,0,0,23,5,0,85,0,0,0,0,0,0,0
10-Jun,10,47,0,28,0,0,10,0,0,56,0,25,0,0,0,21,3,0,85,0,0,10,0,0,0,0
11-Jun,10,47,0,28,0,0,10,50,0,56,0,25,0,0,0,21,0,0,85,0,0,0,0,5,0,0
12-Jun,10,46,15,28,0,0,13,50,45,56,0,25,20,0,0,17,0,0,78,0,0,0,0,10,0,29
13-Jun,10,45,3,28,0,0,13,50,45,56,0,28,20,0,0,17,6,0,78,0,4,0,0,10,0,44
14-Jun,11,45,5,28,0,0,13,50,45,56,0,45,20,2,5,35,17,3,75,3,4,9,0,10,0,44
15-Jun,25,45,20,28,0,0,13,45,45,56,0,45,24,2,5,25,14,6,73,25,4,12,0,10,0,39
16-Jun,36,45,20,28,0,0,10,43,45,52,0,45,24,7,15,30,12,6,67,28,6,12,0,10,2,37
17-Jun,40,46,20,20,0,0,12,42,35,58,0,45,24,18,20,30,18,5,65,30,6,12,0,12,0,35
18-Jun,55,46,20,15,0,0,12,46,42,58,0,45,24,27,30,28,20,5,60,25,7,11,0,12,0,35
19-Jun,57,46,15,15,0,0,12,42,40,58,0,50,24,30,40,28,20,5,60,25,7,11,0,10,20,35
20-Jun,57,46,15,20,0,0,20,39,38,56,0,55,24,36,55,27,20,5,60,25,7,11,0,10,22,37
21-Jun,57,46,5,25,0,0,22,35,33,50,0,55,24,38,55,27,21,3,55,25,5,10,0,10,20,33
22-Jun,57,39,15,25,0,0,40,55,35,50,0,63,24,45,50,29,22,3,55,20,4,9,0,10,20,30
23-Jun,57,35,17,25,0,0,55,56,35,47,0,63,24,49,50,35,20,3,60,20,8,9,0,10,20,33
24-Jun,57,35,32,25,35,0,59,56,35,47,0,63,30,47,52,33,20,3,60,20,15,7,0,10,22,33
25-Jun,57,36,47,25,45,0,59,48,33,45,0,63,30,47,51,33,20,3,60,20,27,8,0,7,33,33
26-Jun,57,37,50,25,42,0,60,48,38,48,0,63,34,47,68,32,22,3,60,20,26,8,0,5,40,33
27-Jun,57,37,65,35,42,33,60,46,40,48,0,64,35,43,71,29,22,0,60,20,25,8,12,5,46,32
28-Jun,56,37,69,35,43,33,61,48,43,44,0,64,35,43,71,27,40,0,55,20,25,7,12,7,45,32
29-Jun,56,37,63,35,58,33,61,48,46,42,0,52,35,43,73,24,46,0,62,20,27,7,12,10,45,31
30-Jun,56,38,69,35,62,30,61,47,52,42,0,55,33,43,73,24,46,0,62,17,27,7,16,23,45,30
1-Jul,60,39,90,30,64,25,67,47,56,31,0,55,31,30,73,24,46,0,62,14,27,7,30,35,45,30
2-Jul,60,43,90,38,64,20,70,47,59,41,0,58,29,32,73,24,46,0,60,14,27,7,30,40,45,26
3-Jul,60,44,85,38,63,17,75,46,61,58,0,58,29,32,73,24,46,0,58,14,25,7,30,40,42,25
4-Jul,60,40,84,38,63,15,75,45,61,58,29,56,29,30,73,24,48,0,58,14,27,7,30,40,40,26
5-Jul,58,36,69,40,66,15,75,55,61,70,30,70,29,30,73,24,50,0,50,14,20,7,25,40,38,15
6-Jul,58,38,86,40,73,15,75,75,65,70,30,85,30,30,75,24,60,5,50,14,5,7,27,42,35,15
7-Jul,58,39,84,40,75,34,75,85,67,70,27,90,28,30,75,21,66,13,50,14,5,7,32,42,35,15
8-Jul,78,44,83,40,75,41,78,87,67,72,50,96,28,25,80,19,66,6,50,14,6,7,33,42,25,10
9-Jul,78,49,80,42,77,41,78,93,67,74,62,96,28,40,80,18,66,0,56,12,21,12,33,42,25,10
10-Jul,78,51,70,42,97,42,76,95,67,74,63,96,30,45,80,18,70,0,56,11,32,18,33,42,22,17
11-Jul,80,53,66,42,97,42,72,97,55,72,70,96,36,43,78,17,70,0,60,11,32,18,33,52,19,17
12-Jul,80,54,60,50,98,43,72,100,55,70,72,96,40,43,85,14,73,0,60,10,32,18,38,60,20,17
13-Jul,80,54,69,52,103,47,72,100,55,79,80,96,43,44,85,17,72,0,60,10,32,18,40,63,25,16
14-Jul,80,55,81,55,105,47,72,105,75,85,83,98,43,47,86,17,70,0,60,10,32,18,40,68,25,15
15-Jul,80,57,85,55,105,30,74,105,75,94,83,98,43,53,86,17,70,4,66,10,32,18,40,74,25,15
16-Jul,80,58,86,55,105,27,74,105,76,96,83,98,38,51,86,17,68,3,66,10,31,24,40,76,27,15
17-Jul,80,58,86,55,111,27,71,105,76,97,78,102,35,58,92,16,75,10,66,10,30,25,40,76,28,13
18-Jul,80,60,85,56,114,25,71,114,76,98,80,110,30,58,94,16,77,12,66,10,30,25,42,82,28,13
19-Jul,80,66,75,56,115,15,71,130,82,98,84,112,30,58,94,16,77,12,80,31,30,25,40,92,28,13
20-Jul,85,69,65,56,115,10,72,116,85,106,84,112,30,58,94,16,75,12,85,31,30,23,40,93,28,13
21-Jul,92,74,60,54,120,10,71,116,88,104,95,112,30,55,94,16,80,10,92,35,27,22,44,93,28,13
22-Jul,93,76,50,53,121,43,71,116,89,98,102,112,30,55,94,13,80,10,97,39,29,22,49,93,28,13
23-Jul,93,76,70,53,122,43,68,116,89,100,108,112,30,54,94,13,80,10,97,39,29,22,52,97,28,13
24-Jul,93,76,70,53,122,44,71,117,84,100,106,112,32,52,96,24,80,8,97,39,28,20,58,97,28,13
25-Jul,92,76,70,58,122,44,68,120,78,101,106,112,32,51,106,50,82,6,97,39,25,20,58,97,28,12
26-Jul,92,76,80,70,122,44,71,120,75,103,115,112,32,47,107,56,82,6,102,39,23,19,58,97,28,13
27-Jul,92,76,82,80,120,44,75,120,77,103,118,105,32,40,108,60,80,5,110,39,20,16,58,97,28,13
28-Jul,91,80,84,80,119,44,75,120,75,105,120,107,32,38,112,60,80,5,110,38,0,16,52,97,28,13
29-Jul,91,82,84,82,118,38,75,122,74,105,122,107,30,38,112,64,77,4,110,39,0,19,50,105,28,13
30-Jul,91,82,81,82,106,28,75,122,70,104,122,107,30,37,112,74,74,4,108,39,0,19,50,109,28,12
31-Jul,92,80,89,82,104,28,77,120,70,106,122,107,43,36,112,75,74,4,105,42,0,19,50,111,33,12
1-Aug,93,79,87,82,104,28,77,114,73,106,122,107,48,31,112,75,73,12,103,42,58,19,50,120,48,12
2-Aug,93,79,95,74,117,24,77,113,85,105,125,104,50,30,114,75,72,12,101,42,56,18,60,130,50,19
3-Aug,93,79,95,75,122,39,79,105,88,105,128,104,52,30,123,75,71,10,101,42,56,18,65,155,50,21
4-Aug,93,84,95,81,122,50,79,105,87,105,129,104,52,28,143,72,73,10,96,42,56,18,73,152,51,21
5-Aug,93,89,95,84,122,33,84,93,88,105,129,112,52,35,155,70,73,18,95,42,56,18,80,157,51,21
6-Aug,93,93,95,88,122,55,85,82,88,105,129,112,52,35,155,70,73,20,91,42,52,18,82,157,51,21
7-Aug,103,115,97,88,122,50,90,90,89,103,129,112,52,30,159,71,70,20,91,41,52,16,100,165,54,21
8-Aug,125,130,97,88,122,72,90,92,90,106,130,112,52,32,159,75,68,28,85,35,45,40,105,165,54,21
9-Aug,125,132,97,88,116,72,100,97,90,106,143,107,52,33,161,77,68,30,81,35,43,47,109,165,56,21
10-Aug,125,131,95,88,116,70,105,99,90,106,145,105,53,53,161,77,68,30,85,52,42,47,107,165,56,25
11-Aug,121,130,100,93,118,70,105,99,95,106,150,103,53,56,162,79,65,30,88,52,40,47,105,165,56,34
12-Aug,139,129,100,93,120,65,105,103,100,106,160,100,55,58,164,80,65,25,90,52,38,54,103,165,55,34
13-Aug,137,129,108,98,120,77,105,103,100,104,160,103,54,62,164,77,80,23,90,60,38,54,99,157,60,32
14-Aug,137,126,108,98,120,73,105,100,100,101,160,105,53,62,171,71,80,23,100,75,35,57,90,154,62,22
15-Aug,137,118,105,98,120,83,117,100,100,99,160,107,53,62,173,75,80,21,102,80,34,58,90,150,62,19
16-Aug,137,109,100,98,120,83,117,100,100,96,160,107,53,72,173,75,78,15,110,80,34,58,90,145,62,23
17-Aug,137,110,90,95,118,87,121,100,100,91,160,107,53,72,173,75,78,15,110,80,44,58,90,130,62,22
18-Aug,145,117,80,98,116,92,140,100,100,94,160,107,55,72,173,79,77,25,105,75,44,60,100,115,62,21
19-Aug,158,129,75,89,115,87,142,100,100,91,160,107,55,69,173,79,75,30,104,72,42,60,108,110,62,20
20-Aug,170,135,85,98,113,90,142,100,102,90,160,105,56,55,173,79,74,36,107,70,40,60,108,105,62,20
21-Aug,172,136,102,98,113,90,144,100,108,90,160,105,56,52,171,79,74,44,107,68,37,60,108,95,60,18
22-Aug,174,137,92,96,113,101,144,90,109,90,170,105,55,52,168,82,74,59,107,63,32,58,109,90,60,18
23-Aug,174,138,92,84,113,118,144,90,110,90,170,105,56,52,168,81,74,81,118,60,0,57,110,85,63,18
24-Aug,173,143,92,80,110,115,139,80,110,87,170,105,55,50,168,82,74,81,118,60,0,70,115,85,65,18
25-Aug,170,145,92,80,110,115,139,80,114,87,170,103,51,49,164,96,74,75,126,50,0,70,115,85,63,18
26-Aug,170,145,95,80,106,115,149,80,141,101,170,103,54,49,160,98,74,72,130,45,0,74,110,75,60,18
27-Aug,168,148,95,80,104,115,149,75,155,95,170,101,53,48,158,100,73,71,133,38,0,74,105,75,60,18
28-Aug,168,150,95,81,103,110,149,70,157,95,165,94,52,44,156,100,72,70,133,35,0,74,100,68,56,18
29-Aug,168,150,93,85,101,110,149,70,157,93,162,92,51,44,156,100,70,65,134,30,0,74,95,68,54,18
30-Aug,164,150,92,85,100,85,149,60,157,94,162,90,50,42,154,100,70,65,138,20,0,74,95,60,52,18
31-Aug,163,150,88,85,100,85,159,60,155,94,162,90,48,30,158,104,70,65,138,20,0,74,93,61,50,17
1-Sep,168,150,83,85,95,81,160,60,152,93,167,85,45,38,154,109,70,60,138,15,0,60,93,61,50,12
2-Sep,168,150,75,85,99,78,160,60,150,93,165,85,40,38,151,109,70,60,145,12,0,58,93,61,50,8
3-Sep,165,147,64,83,100,68,160,60,150,93,165,85,35,37,149,109,67,57,145,12,0,50,93,61,48,12
4-Sep,165,149,64,83,100,74,155,53,140,88,163,85,35,37,156,109,60,52,140,8,0,47,93,60,48,12
5-Sep,165,157,64,83,100,67,145,50,121,91,161,86,36,36,156,109,59,50,138,9,0,47,93,64,37,12
6-Sep,161,173,64,81,95,60,145,48,130,92,161,86,36,36,152,109,59,50,141,9,0,45,97,70,35,12
7-Sep,158,183,62,83,95,55,149,49,130,92,155,81,36,35,152,109,56,50,141,12,0,40,98,70,35,12
8-Sep,157,188,60,89,95,53,159,50,130,80,150,81,36,30,147,105,56,45,136,12,0,40,98,70,32,10
9-Sep,153,190,53,89,90,50,160,50,130,82,150,81,32,22,143,105,54,50,133,11,0,38,98,70,35,0
10-Sep,153,190,45,89,55,50,160,57,127,82,150,81,32,6,140,104,57,43,145,10,0,37,108,70,35,0
11-Sep,151,190,41,88,55,45,160,58,130,79,145,79,32,0,144,101,57,40,140,10,0,36,100,70,32,0
12-Sep,147,187,41,88,54,45,160,60,130,76,145,79,32,8,155,95,55,35,148,10,0,34,97,70,32,0
13-Sep,145,174,37,84,54,48,150,60,129,72,140,70,22,11,155,90,52,35,144,10,0,32,110,65,30,0
14-Sep,143,171,36,84,54,45,150,60,126,72,140,70,21,11,155,98,49,30,140,10,0,32,132,62,30,0
15-Sep,141,176,36,75,47,45,150,58,122,67,120,70,21,10,155,118,49,30,134,10,10,30,132,60,30,0
16-Sep,146,178,38,62,41,45,149,58,124,67,132,70,20,16,155,124,37,22,130,10,20,28,124,58,30,25
17-Sep,148,178,38,62,41,30,145,55,125,62,130,65,20,0,155,122,37,18,126,5,25,28,120,55,25,5
18-Sep,148,176,38,62,44,25,143,48,125,55,124,65,20,28,153,120,28,15,120,16,25,20,112,55,25,0
19-Sep,151,176,33,58,44,30,140,42,123,50,117,65,15,29,151,118,28,15,117,18,10,27,102,50,25,0
20-Sep,151,176,33,56,44,30,135,38,120,47,114,65,0,25,149,118,28,10,112,15,5,23,102,40,35,0
21-Sep,151,176,34,56,42,30,132,38,120,40,105,65,0,23,147,116,28,10,108,10,0,22,104,38,42,8
22-Sep,149,173,34,56,39,25,122,25,114,35,100,65,0,20,145,114,25,8,100,10,0,22,100,33,42,12
23-Sep,148,169,29,52,38,0,122,20,112,30,92,65,0,18,142,111,20,6,95,10,0,21,95,33,40,10
24-Sep,147,163,29,52,35,0,116,20,110,30,92,64,0,14,135,109,20,0,92,10,0,20,90,31,40,10
25-Sep,146,160,25,48,34,0,116,20,109,30,90,60,0,14,128,105,18,0,87,10,0,19,85,25,40,0
26-Sep,144,163,25,48,30,0,114,20,102,70,88,60,0,14,123,95,18,4,80,10,0,18,85,23,40,0
27-Sep,142,161,0,48,29,0,110,15,100,80,88,58,0,13,118,102,10,0,72,10,0,18,75,20,40,0
28-Sep,138,157,0,0,28,0,105,15,95,85,80,58,0,13,114,106,10,0,66,10,0,17,50,20,48,0
29-Sep,138,155,0,0,0,0,105,15,95,85,75,62,0,2,107,108,15,0,65,0,0,16,62,20,48,0
30-Sep,138,152,0,0,0,0,111,0,90,80,70,62,0,8,93,108,12,0,0,0,0,10,52,20,60,0
1-Oct,137,150,0,0,0,0,111,0,88,75,65,0,0,3,85,106,12,0,0,0,0,10,70,18,60,0
2-Oct,132,150,0,0,0,0,107,0,85,55,62,0,0,2,75,0,10,0,0,0,0,10,77,18,56,0
3-Oct,126,150,0,0,0,0,104,0,83,55,62,0,0,0,70,0,8,0,0,0,0,10,75,17,45,0
4-Oct,120,147,0,0,0,0,98,0,0,25,25,0,0,0,0,0,6,0,0,0,0,10,75,17,43,0
5-Oct,117,145,0,0,0,0,95,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,70,12,42,0
6-Oct,115,145,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55,12,42,0
7-Oct,110,135,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55,12,42,0
8-Oct,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
