,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
5-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0
6-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,85,0,0,0,0,0,0,0
7-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,82,0,0,0,0,0,0,0
8-Jun,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,35,11,0,80,0,20,0,4,0,0,0
9-Jun,0,0,0,0,0,0,35,0,0,0,0,32,0,0,0,33,2,0,81,0,18,0,3,0,0,0
10-Jun,0,25,0,0,0,0,35,0,0,38,0,24,0,0,0,31,0,0,84,0,15,1.5,2,0,2,0
11-Jun,0,34,2,0,0,0,35,30,0,38,0,24,20,0,0,30,0,0,80,0,15,0,0,14,4,16
12-Jun,0,34,5,20,0,0,35,30,10,32,0,30,20,0,0,29,0,0,74,0,12,0,0,17,6,67
13-Jun,0,34,5,20,0,0,37,30,13,33,0,33,20,0,0,25,10,0,74,3,25,0,0,17,5,81
14-Jun,0,33,0,20,0,0,37,30,13,33,0,34,20,4,0,53,27,4,73,30,24,20,0,16,5,79
15-Jun,0,32,0,20,0,0,37,20,10,31,0,34,20,3,10,40,33,15,71,30,23,20,0,16,18,73
16-Jun,0,31,25,15,0,0,37,20,10,35,0,32,20,15,26,42,26,18,69,38,26,20,0,16,16,70
17-Jun,0,30,25,10,0,0,35,18,10,28,0,33,50,40,26,42,26,18,66,38,25,18,0,22,22,66
18-Jun,0,30,0,10,0,0,35,22,50,28,0,33,50,42,30,42,34,18,65,35,24,17,0,22,22,59
19-Jun,0,30,0,10,0,0,35,38,50,28,0,40,50,43,63,40,34,15,64,40,24,17,0,21,48,58
20-Jun,0,30,0,10,0,0,35,38,50,28,0,47,50,46,70,38,34,15,64,37,24,16,0,21,53,71
21-Jun,0,30,0,10,0,0,35,38,50,28,0,47,50,58,70,38,35,23,58,33,24,16,0,22,52,68
22-Jun,0,30,15,10,0,0,80,45,50,28,0,60,50,64,63,39,37,22,72,33,14,15,0,22,48,63
23-Jun,0,30,20,10,0,0,80,46,50,28,0,60,50,69,59,43,37,22,88,32,31,14,0,22,46,68
24-Jun,0,30,20,10,40,0,81,44,50,28,0,60,50,65,59,42,37,22,86,32,46,12,4,22,52,67
25-Jun,0,30,40,10,55,0,80,38,50,30,0,60,55,64,63,42,37,20,83,31,55,15,3,22,67,65
26-Jun,0,30,40,10,52,0,80,38,20,30,0,60,55,60,93,42,40,18,80,29,52,15,12,21,67,63
27-Jun,0,30,40,10,46,17,80,38,20,37,4,64,55,58,92,42,37,17,80,29,50,15,34,21,79,60
28-Jun,0,30,40,10,55,17,80,48,20,36,4,64,55,58,90,41,63,15,80,29,48,8,31,23,80,60
29-Jun,0,30,40,10,81,17,80,48,20,36,5,80,55,58,91,40,66,14,98,28,54,6,31,32,77,59
30-Jun,0,30,40,10,87,17,80,48,55,31,5,80,55,55,90,40,70,14,105,28,52,3,42,38,72,59
1-Jul,0,44,50,10,87,17,80,48,55,23,35,80,55,53,101,41,70,12,101,27,52,2,37,60,72,57
2-Jul,0,58,50,10,83,15,83,48,55,33,35,85,55,62,106,40,65,13,100,27,54,0,42,64,72,55
